"AAAA","BBB"
"GPSData(longitude=16.5015, latitude=48.161, altitude=933.4, track=341.7, ground_speed=117.8)","AttitudeData(true_heading=341.7, pitch=9.32, roll=0.17)",1744314549.887841
"GPSData(longitude=16.501, latitude=48.162, altitude=945.2, track=341.7, ground_speed=118.5)","AttitudeData(true_heading=341.7, pitch=9.26, roll=0.15)",1744314550.900865
"GPSData(longitude=16.5005, latitude=48.1631, altitude=957.0, track=341.7, ground_speed=119.1)","AttitudeData(true_heading=341.7, pitch=9.2, roll=0.13)",1744314551.91447
"GPSData(longitude=16.4999, latitude=48.1642, altitude=968.9, track=341.7, ground_speed=119.7)","AttitudeData(true_heading=341.7, pitch=9.15, roll=0.12)",1744314552.926152
"GPSData(longitude=16.4995, latitude=48.165, altitude=978.5, track=341.8, ground_speed=120.2)","AttitudeData(true_heading=341.8, pitch=9.09, roll=0.1)",1744314553.9395351
"GPSData(longitude=16.499, latitude=48.1661, altitude=990.3, track=341.8, ground_speed=120.8)","AttitudeData(true_heading=341.8, pitch=9.06, roll=0.09)",1744314554.95247
"GPSData(longitude=16.4984, latitude=48.1672, altitude=1002.2, track=341.8, ground_speed=121.4)","AttitudeData(true_heading=341.8, pitch=9.02, roll=0.08)",1744314555.96546
"GPSData(longitude=16.4979, latitude=48.1683, altitude=1014.3, track=341.8, ground_speed=122.0)","AttitudeData(true_heading=341.8, pitch=8.99, roll=0.07)",1744314556.976077
"GPSData(longitude=16.4974, latitude=48.1694, altitude=1026.5, track=341.8, ground_speed=122.6)","AttitudeData(true_heading=341.8, pitch=8.96, roll=0.06)",1744314557.9880362
"GPSData(longitude=16.4968, latitude=48.1705, altitude=1038.9, track=341.8, ground_speed=123.2)","AttitudeData(true_heading=341.8, pitch=8.94, roll=0.05)",1744314559.0015419
"GPSData(longitude=16.4963, latitude=48.1715, altitude=1050.7, track=341.8, ground_speed=123.7)","AttitudeData(true_heading=341.8, pitch=8.91, roll=0.05)",1744314560.0150778
"GPSData(longitude=16.4958, latitude=48.1726, altitude=1063.3, track=341.8, ground_speed=124.3)","AttitudeData(true_heading=341.8, pitch=8.89, roll=0.04)",1744314561.0288708
"GPSData(longitude=16.4953, latitude=48.1735, altitude=1073.5, track=341.8, ground_speed=124.7)","AttitudeData(true_heading=341.8, pitch=8.87, roll=0.03)",1744314562.041374
"GPSData(longitude=16.4948, latitude=48.1747, altitude=1086.3, track=341.8, ground_speed=125.3)","AttitudeData(true_heading=341.8, pitch=8.86, roll=0.03)",1744314563.053774
"GPSData(longitude=16.4942, latitude=48.1758, altitude=1099.1, track=341.8, ground_speed=125.8)","AttitudeData(true_heading=341.8, pitch=8.84, roll=0.02)",1744314564.067025
